Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1049413,2010-12-28,2010-12-28,"10/10","Up, una aventura de altura","Up",https://www.imdb.com/title/tt1049413/,Película,8.3,96,2009,"Animación, Aventura, Comedia, Drama, Familia",1174311,2009-06-05,"Pete Docter, Bob Peterson"
2,tt0167260,2010-12-28,2010-12-28,"10/10","El señor de los anillos: El retorno del rey","The Lord of the Rings: The Return of the King",https://www.imdb.com/title/tt0167260/,Película,9.0,201,2003,"Aventura, Drama, Fantasía",2066741,2003-12-17,"Peter Jackson"
3,tt0257044,2010-12-28,2010-12-28,"10/10","Camino a la perdición","Road to Perdition",https://www.imdb.com/title/tt0257044/,Película,7.7,117,2002,"Crimen, Drama, Suspenso",292281,2002-08-30,"Sam Mendes"
4,tt0292542,2010-12-28,2010-12-28,"10/10","El hijo de la novia","El hijo de la novia",https://www.imdb.com/title/tt0292542/,Película,7.8,123,2001,"Comedia, Drama",16936,2003-01-31,"Juan José Campanella"
5,tt0120737,2010-12-28,2010-12-28,"9,5/10","El señor de los anillos: La comunidad del anillo","The Lord of the Rings: The Fellowship of the Ring",https://www.imdb.com/title/tt0120737/,Película,8.9,178,2001,"Aventura, Drama, Fantasía",2096154,2001-12-21,"Peter Jackson"
6,tt0206634,2010-12-28,2010-12-28,"9/10","Niños del hombre","Children of Men",https://www.imdb.com/title/tt0206634/,Película,7.9,109,2006,"Drama, Ciencia ficción, Suspenso",545634,2006-11-24,"Alfonso Cuarón"
7,tt0311113,2010-12-28,2010-12-28,"9/10","Capitán de mar y guerra: La costa más lejana del mundo","Master and Commander: The Far Side of the World",https://www.imdb.com/title/tt0311113/,Película,7.5,138,2003,"Acción, Aventura, Drama, Guerra",245714,2004-02-04,"Peter Weir"
8,tt0477348,2010-12-28,2010-12-28,"9/10","Sin lugar para los débiles","No Country for Old Men",https://www.imdb.com/title/tt0477348/,Película,8.2,122,2007,"Crimen, Drama, Suspenso",1114503,2008-02-08,"Ethan Coen, Joel Coen"
9,tt0405159,2010-12-28,2010-12-28,"9/10","Golpes del destino","Million Dollar Baby",https://www.imdb.com/title/tt0405159/,Película,8.1,132,2004,"Drama, Deportes",743421,2005-02-18,"Clint Eastwood"
10,tt0468569,2010-12-28,2010-12-28,"9/10","Batman: El caballero de la noche","The Dark Knight",https://www.imdb.com/title/tt0468569/,Película,9.0,152,2008,"Acción, Crimen, Drama, Suspenso",3001718,2008-07-18,"Christopher Nolan"
11,tt0910970,2010-12-28,2010-12-28,"9/10","WALL·E","WALL·E",https://www.imdb.com/title/tt0910970/,Película,8.4,98,2008,"Animación, Aventura, Familia, Ciencia ficción",1253109,2008-07-04,"Andrew Stanton"
12,tt0407887,2010-12-28,2010-12-28,"9/10","Los infiltrados","The Departed",https://www.imdb.com/title/tt0407887/,Película,8.5,151,2006,"Crimen, Drama, Suspenso",1479515,2006-11-17,"Martin Scorsese"
13,tt0266697,2010-12-28,2010-12-28,"9/10","Kill Bill. La venganza (volumen 1)","Kill Bill: Vol. 1",https://www.imdb.com/title/tt0266697/,Película,8.2,111,2003,"Acción, Crimen, Suspenso",1244332,2003-11-28,"Quentin Tarantino"
14,tt0378194,2010-12-28,2010-12-28,,"Kill Bill: Vol. 2","Kill Bill: Vol. 2",https://www.imdb.com/title/tt0378194/,Película,8.0,137,2004,"Acción, Crimen, Suspenso",834325,2004-05-21,"Quentin Tarantino"
15,tt0217869,2010-12-28,2010-12-28,"9/10","El protegido","Unbreakable",https://www.imdb.com/title/tt0217869/,Película,7.3,106,2000,"Drama, Misterio, Ciencia ficción, Suspenso",455210,2000-12-08,"M. Night Shyamalan"
16,tt0369339,2010-12-28,2010-12-28,"9/10","Colateral","Collateral",https://www.imdb.com/title/tt0369339/,Película,7.5,120,2004,"Acción, Crimen, Drama, Suspenso",446916,2004-08-20,"Michael Mann"
17,tt0449059,2010-12-28,2010-12-28,"9/10","Pequeña Miss Sunshine","Little Miss Sunshine",https://www.imdb.com/title/tt0449059/,Película,7.8,101,2006,"Comedia, Drama",535019,2006-11-24,"Jonathan Dayton, Valerie Faris"
18,tt0317248,2010-12-28,2010-12-28,"9/10","Ciudad de Dios","Cidade de Deus",https://www.imdb.com/title/tt0317248/,Película,8.6,130,2002,"Crimen, Drama",833363,2003-05-01,"Fernando Meirelles, Kátia Lund"
19,tt0414993,2010-12-28,2010-12-28,"9/10","La fuente de la vida","The Fountain",https://www.imdb.com/title/tt0414993/,Película,7.2,97,2006,"Drama, Misterio, Romance, Ciencia ficción",252740,2007-03-09,"Darren Aronofsky"
20,tt1125849,2010-12-28,2010-12-28,"9/10","El luchador","The Wrestler",https://www.imdb.com/title/tt1125849/,Película,7.9,109,2008,"Drama, Deportes",324969,2009-02-27,"Darren Aronofsky"
21,tt0198781,2010-12-28,2010-12-28,"9/10","Monsters, Inc.","Monsters, Inc.",https://www.imdb.com/title/tt0198781/,Película,8.1,92,2001,"Animación, Aventura, Comedia, Familia, Fantasía",1021748,2001-12-14,"Pete Docter, David Silverman, Lee Unkrich"
