1,nm0000138,2023-03-20,2023-03-20,,"Leonardo DiCaprio","Inception","11 de noviembre de 1974"
2,nm0000199,2023-03-20,2023-03-20,,"Al Pacino","Serpico","25 de abril de 1940"
3,nm0000358,2023-03-20,2023-03-20,,"Daniel Day-Lewis","There Will Be Blood","29 de abril de 1957"
4,nm0000134,2023-03-20,2023-03-20,,"Robert De Niro","Cape Fear","17 de agosto de 1943"
5,nm0000164,2023-03-20,2023-03-20,,"Anthony Hopkins","The Silence of the Lambs","31 de diciembre de 1937"
6,nm0000151,2023-03-20,2023-03-20,,"Morgan Freeman","Se7en","1 de junio de 1937"
7,nm0000353,2023-03-20,2023-03-20,,"Willem Dafoe","Spider-Man","22 de julio de 1955"
8,nm0000148,2023-03-20,2023-03-20,,"Harrison Ford","Raiders of the Lost Ark","13 de julio de 1942"
9,nm0000243,2023-03-20,2023-03-20,,"Denzel Washington","Fences","28 de diciembre de 1954"
10,nm0000008,2023-03-20,2023-03-20,,"Marlon Brando","Apocalypse Now","3 de abril de 1924"
11,nm0000163,2023-03-20,2023-03-20,,"Dustin Hoffman","Tootsie","8 de agosto de 1937"
12,nm0000093,2023-03-20,2023-03-20,,"Brad Pitt","Fight Club","18 de diciembre de 1963"
13,nm0000288,2023-03-20,2023-03-20,,"Christian Bale","The Dark Knight","30 de enero de 1974"
14,nm0000197,2023-03-20,2023-03-20,,"Jack Nicholson","Chinatown","22 de abril de 1937"
15,nm0000158,2023-03-20,2023-03-20,,"Tom Hanks","Cast Away","9 de julio de 1956"
16,nm0001618,2023-03-20,2023-03-20,,"Joaquin Phoenix","Walk the Line","28 de octubre de 1974"
17,nm0000075,2023-03-20,2023-03-20,,"Spencer Tracy","Guess Who's Coming to Dinner","5 de abril de 1900"
18,nm0000071,2023-03-20,2023-03-20,,"James Stewart","Vertigo","20 de mayo de 1908"
19,nm0000011,2023-03-20,2023-03-20,,"Gary Cooper","High Noon","7 de mayo de 1901"
20,nm0000198,2023-03-20,2023-03-20,,"Gary Oldman","The Dark Knight","21 de marzo de 1958"
21,nm0000027,2023-03-20,2023-03-20,,"Alec Guinness","Star Wars","2 de abril de 1914"
22,nm0000432,2023-03-20,2023-03-20,,"Gene Hackman","The French Connection","30 de enero de 1930"
23,nm0000377,2023-03-20,2023-03-20,,"Richard Dreyfuss","The Goodbye Girl","29 de octubre de 1947"
24,nm0000020,2023-03-20,2023-03-20,,"Henry Fonda","12 Angry Men","16 de mayo de 1905"
25,nm0001426,2023-03-20,2023-03-20,,"Ben Kingsley","Sexy Beast","31 de diciembre de 1943"
26,nm0000380,2023-03-20,2023-03-20,,"Robert Duvall","The Apostle","5 de enero de 1931"
27,nm0000056,2023-03-20,2023-03-20,,"Paul Newman","The Hustler","26 de enero de 1925"
