1,nm0000658,2023-03-21,2023-03-21,,"Meryl Streep","Out of Africa","22 de junio de 1949"
2,nm0000031,2023-03-21,2023-03-21,,"Katharine Hepburn","The African Queen","12 de mayo de 1907"
3,nm0000531,2023-03-21,2023-03-21,,"Frances McDormand","Three Billboards Outside Ebbing, Missouri","23 de junio de 1957"
4,nm0000949,2023-03-21,2023-03-21,,"Cate Blanchett","Carol","14 de mayo de 1969"
5,nm0000995,2023-03-21,2023-03-21,,"Ellen Burstyn","Requiem for a Dream","7 de diciembre de 1932"
6,nm0000368,2023-03-21,2023-03-21,,"Laura Dern","Jurassic Park","10 de febrero de 1967"
7,nm0000335,2023-03-21,2023-03-21,,"Glenn Close","Fatal Attraction","19 de marzo de 1947"
8,nm0000701,2023-03-21,2023-03-21,,"Kate Winslet","Titanic","5 de octubre de 1975"
9,nm0000173,2023-03-21,2023-03-21,,"Nicole Kidman","Moulin Rouge!","20 de junio de 1967"
10,nm0000194,2023-03-21,2023-03-21,,"Julianne Moore","Far from Heaven","3 de diciembre de 1960"
11,nm0205626,2023-03-21,2023-03-21,,"Viola Davis","Fences","11 de agosto de 1965"
12,nm1567113,2023-03-21,2023-03-21,,"Jessica Chastain","Zero Dark Thirty","24 de marzo de 1977"
13,nm0931329,2023-03-21,2023-03-21,,"Michelle Williams","Blue Valentine","9 de septiembre de 1980"
14,nm1297015,2023-03-21,2023-03-21,,"Emma Stone","La La Land","6 de noviembre de 1988"
15,nm0000668,2023-03-21,2023-03-21,,"Emma Thompson","Sense and Sensibility","15 de abril de 1959"
16,nm0001448,2023-03-21,2023-03-21,,"Jessica Lange","Tootsie","20 de abril de 1949"
17,nm0000234,2023-03-21,2023-03-21,,"Charlize Theron","Monster","7 de agosto de 1975"
18,nm0001401,2023-03-21,2023-03-21,,"Angelina Jolie","Maleficent","4 de junio de 1975"
19,nm0880521,2023-03-21,2023-03-21,,"Liv Ullmann","Viskningar och rop","16 de diciembre de 1938"
20,nm0000659,2023-03-21,2023-03-21,,"Barbra Streisand","Funny Girl","24 de abril de 1942"
21,nm0000030,2023-03-21,2023-03-21,,"Audrey Hepburn","Breakfast at Tiffany's","4 de mayo de 1929"
22,nm0000072,2023-03-21,2023-03-21,,"Elizabeth Taylor","Who's Afraid of Virginia Woolf?","27 de febrero de 1932"
23,nm0001046,2023-03-21,2023-03-21,,"Julie Christie","Doctor Zhivago","14 de abril de 1940"
24,nm0000267,2023-03-21,2023-03-21,,"Julie Andrews","The Sound of Music","1 de octubre de 1935"
25,nm0000398,2023-03-21,2023-03-21,,"Sally Field","Lincoln","6 de noviembre de 1946"
26,nm0000244,2023-03-21,2023-03-21,,"Sigourney Weaver","Alien Resurrection","8 de octubre de 1949"
27,nm0000235,2023-03-21,2023-03-21,,"Uma Thurman","Kill Bill: Vol. 1","29 de abril de 1970"
