1,nm0941777,2023-04-27,2023-04-27,,"Sam Worthington","Avatar","2 de agosto de 1976"
2,nm0757855,2023-04-27,2023-04-27,,"Zoe Saldaña","Avatar","19 de junio de 1978"
3,nm0000244,2023-04-27,2023-04-27,,"Sigourney Weaver","Alien Resurrection","8 de octubre de 1949"
4,nm0735442,2023-04-27,2023-04-27,,"Michelle Rodriguez","Fast & Furious 7","12 de julio de 1978"
5,nm0002332,2023-04-27,2023-04-27,,"Stephen Lang","Avatar","11 de julio de 1952"
6,nm0000375,2023-04-27,2023-04-27,,"Robert Downey Jr.","Iron Man","4 de abril de 1965"
7,nm0262635,2023-04-27,2023-04-27,,"Chris Evans","The Avengers","13 de junio de 1981"
8,nm1165110,2023-04-27,2023-04-27,,"Chris Hemsworth","Snow White and the Huntsman","11 de agosto de 1983"
9,nm0749263,2023-04-27,2023-04-27,,"Mark Ruffalo","Spotlight","22 de noviembre de 1967"
10,nm0748620,2023-04-27,2023-04-27,,"Paul Rudd","Ant-Man","6 de abril de 1969"
11,nm0719637,2023-04-27,2023-04-27,,"Jeremy Renner","The Hurt Locker","7 de enero de 1971"
12,nm0424060,2023-04-27,2023-04-27,,"Scarlett Johansson","Lost in Translation","22 de noviembre de 1984"
13,nm0488953,2023-04-27,2023-04-27,,"Brie Larson","Room","1 de octubre de 1989"
14,nm0000332,2023-04-27,2023-04-27,,"Don Cheadle","Crash","29 de noviembre de 1964"
15,nm0000982,2023-04-27,2023-04-27,,"Josh Brolin","No Country for Old Men","12 de febrero de 1968"
16,nm2394794,2023-04-27,2023-04-27,,"Karen Gillan","Selfie","28 de noviembre de 1987"
17,nm0177896,2023-04-27,2023-04-27,,"Bradley Cooper","A Star Is Born","5 de enero de 1975"
18,nm0000138,2023-04-27,2023-04-27,,"Leonardo DiCaprio","Inception","11 de noviembre de 1974"
19,nm0000701,2023-04-27,2023-04-27,,"Kate Winslet","Titanic","5 de octubre de 1975"
20,nm5397459,2023-04-27,2023-04-27,,"Daisy Ridley","Star Wars: Episode VII - The Force Awakens","10 de abril de 1992"
21,nm3485845,2023-04-27,2023-04-27,,"Adam Driver","Star Wars: Episode VII - The Force Awakens","19 de noviembre de 1983"
22,nm3915784,2023-04-27,2023-04-27,,"John Boyega","Star Wars: Episode VII - The Force Awakens","17 de marzo de 1992"
23,nm1209966,2023-04-27,2023-04-27,,"Oscar Isaac","Ex Machina","9 de marzo de 1979"
24,nm0000148,2023-04-27,2023-04-27,,"Harrison Ford","Raiders of the Lost Ark","13 de julio de 1942"
25,nm0000402,2023-04-27,2023-04-27,,"Carrie Fisher","Star Wars","21 de octubre de 1956"
26,nm0000434,2023-04-27,2023-04-27,,"Mark Hamill","Star Wars","25 de septiembre"
27,nm0647634,2023-04-27,2023-04-27,,"Elizabeth Olsen","Martha Marcy May Marlene","16 de febrero de 1989"
28,nm1212722,2023-04-27,2023-04-27,,"Benedict Cumberbatch","The Imitation Game","19 de julio de 1976"
29,nm4043618,2023-04-27,2023-04-27,,"Tom Holland","Spider-Man: Homecoming","1 de junio de 1996"
30,nm1569276,2023-04-27,2023-04-27,,"Chadwick Boseman","Black Panther","29 de noviembre de 1976"
31,nm0079273,2023-04-27,2023-04-27,,"Paul Bettany","WandaVision","27 de mayo de 1971"
32,nm1107001,2023-04-27,2023-04-27,,"Anthony Mackie","The Hurt Locker","23 de septiembre de 1978"
33,nm1659221,2023-04-27,2023-04-27,,"Sebastian Stan","Captain America: The Winter Soldier","13 de agosto de 1982"
34,nm3918035,2023-04-27,2023-04-27,,"Zendaya","Spider-Man: Homecoming","1 de septiembre de 1996"
35,nm0000353,2023-04-27,2023-04-27,,"Willem Dafoe","Spider-Man","22 de julio de 1955"
36,nm1940449,2023-04-27,2023-04-27,,"Andrew Garfield","Hacksaw Ridge","20 de agosto de 1983"
37,nm0004937,2023-04-27,2023-04-27,,"Jamie Foxx","Ray","13 de diciembre de 1967"
38,nm0695435,2023-04-27,2023-04-27,,"Chris Pratt","Guardians of the Galaxy","21 de junio de 1979"
39,nm0397171,2023-04-27,2023-04-27,,"Bryce Dallas Howard","Jurassic World: Dominion","2 de marzo de 1981"
40,nm1089991,2023-04-27,2023-04-27,,"Tom Hiddleston","The Avengers","9 de febrero de 1981"
41,nm0000168,2023-04-27,2023-04-27,,"Samuel L. Jackson","Pulp Fiction","21 de diciembre de 1948"
42,nm0004874,2023-04-27,2023-04-27,,"Vin Diesel","The Fast and the Furious","18 de julio de 1967"
43,nm0908094,2023-04-27,2023-04-27,,"Paul Walker","The Fast and the Furious","12 de septiembre de 1973"
